<F12wk7_Advertisement_02010 & 02172>
<Transcribed by: June Ruivivar>
<Date: 12 July 2013>
<Total length of recording: 1:43>
<A is 02010; B is 02172>
1 ^zz++++=1
A ^at++++=A:
: ^zz++++=EXTRAWORD
Um ^uh++++=Um
uh ^uh++++=uh
how ^wrb+who+++=how
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
B ^zz++++=B?
? ^zz++++=EXTRAWORD
2 ^zz++++=2
B ^zz++++=B:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
fine ^jj+pred+++=fine,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
A ^at++++=A?
? ^zz++++=EXTRAWORD
3 ^zz++++=3
A ^at++++=A:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
uh ^uh++++=uh
I ^pp1a+pp1+++=I
choose ^vb++++=choose
the ^ati++++=the
smoking ^jj+atrb++xvbg+=smoking
part ^nn++++=part
because ^cs+cos+++=because
the ^ati++++=the
people ^nns++++=people
used ^md"++pmd"++=used
to ^to++++=to
smoke ^vb++++=smoke
even ^rb++++=even
the ^ati++++=the
te ^nn++++=te-teenager-ager-ager
- ^zz++++=EXTRAWORD
teenager ^nn+nom+++=EXTRAWORD
- ^zz++++=EXTRAWORD
ager ^jjr++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ager ^jjr+atrb+++=EXTRAWORD
people ^nns++++=people
4 ^zz++++=4
B ^zz++++=B:
: ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
teenager ^nn+nom+++=teenager?
? ^zz++++=EXTRAWORD
5 ^zz++++=5
A ^at++++=A:
: ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah
6 ^zz++++=6
B ^zz++++=B:
: ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
very ^ql+amp+++=very
uh ^uh++++=uh
dangerous ^jj+atrb+++=dangerous
thing ^nn++++=thing
7 ^zz++++=7
A ^at++++=A:
: ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
so ^rb+emph+++=so
dangerous ^jj++++=dangerous
so ^ql++++=so
ho ^uh++++=ho-how
- ^zz++++=EXTRAWORD
how ^wrb+who+++=EXTRAWORD
about ^in++++=about
your ^pp$+pp2+++=your
% ^zz++++=%uh
uh ^uh++++=EXTRAWORD
advertisement ^nn+nom+++=advertisement%
% ^zz++++=EXTRAWORD
8 ^zz++++=8
B ^zz++++=B:
: ^zz++++=EXTRAWORD
% ^zz++++=%No
no ^at++++=EXTRAWORD
about ^in++++=about
me ^pp1o+pp1+++=me
I ^pp1a+pp1+++=I
ch ^nnu++++=ch
% ^zz++++=%I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
agree ^vb+vpub+++=agree
