id,level,collaboration_score
58,1,2
162,1,2
256,1,4
371,1,4
254,1,4
325,1,4
94,1,2
398,1,2
460,1,4
537,1,4
134,1,3
582,1,3
372,1,3
373,1,3
186,1,4
187,1,4
102,1,4
116,1,4
16,1,3
81,1,3
290,1,3
521,1,3
357,1,3
214,1,4
539,1,4
538,1,3
365,1,3
553,1,3
36,1,4
204,1,4
51,1,3
199,1,4
24,1,4
118,1,4
275,1,3
282,1,3
312,1,3
330,1,3
80,1,2
150,1,2
260,1,3
540,1,3
261,1,2
326,1,2
66,1,4
541,1,4
408,1,3
491,1,3
268,1,4
295,1,4
100,1,4
575,1,3
145,1,3
350,1,3
190,1,4
236,1,4
61,1,4
96,1,4
199,1,4
570,1,4
111,1,3
215,1,3
39,1,4
73,1,4
32,1,2
220,1,2
92,1,4
269,1,4
291,1,3
466,1,3
119,1,4
135,1,4
13,1,4
531,1,4
225,1,4
286,1,4
128,1,2
153,1,2
120,1,4
277,1,2
226,1,4
478,1,4
10,1,4
172,1,4
121,1,3
216,1,4
107,1,4
146,1,4
76,1,4
108,1,4
221,1,4
240,1,4
458,1,4
523,1,3
99,1,4
217,1,4
75,1,4
173,1,4
359,1,4
549,1,3
402,1,4
496,1,4
490,1,4
520,1,4
144,1,3
346,1,3
48,1,3
212,1,3
131,1,2
142,1,2
42,1,3
258,1,3
205,1,3
348,1,3
55,1,3
385,1,3
161,1,3
592,1,4
193,1,2
392,1,2
294,1,4
339,1,4
243,1,4
321,1,4
70,1,3
274,1,3
248,1,3
259,1,3
77,1,4
592,1,4
188,1,2
436,1,2
324,1,3
328,1,3
117,1,3
429,1,3
209,1,4
265,1,4
206,1,4
255,1,4
351,1,3
482,1,3
390,1,3
557,1,3
152,1,3
547,1,3
16,3,3
37,3,3
290,3,3
521,3,3
129,3,3
373,3,3
372,3,2
434,3,2
102,3,3
116,3,3
81,3,1
134,3,1
94,3,2
214,3,2
357,3,4
538,3,4
365,3,3
553,3,3
51,3,4
570,3,4
275,3,3
286,3,3
330,3,4
491,3,4
80,3,3
118,3,3
122,3,3
150,3,3
234,1,4
297,1,4
36,1,4
269,1,4
148,1,4
543,1,4
51,1,3
330,1,4
22,1,4
192,1,4
96,1,4
518,1,4
151,1,3
191,1,3
312,1,4
570,1,4
355,1,3
417,1,3
215,1,4
431,1,4
343,1,3
394,1,3
39,1,4
73,1,4
54,1,4
486,1,4
543,1,3
560,1,3
135,1,3
326,1,3
438,1,3
542,1,3
