Native Language,Speaker ID,Speaker gender,Role,File number_version,Task name,Task version,Time,Level,Pair,Length of file,PT_col_R1,PT_col_R2,PT_col_AVE,PT_TC_R1,PT_TC_R2,PT_TC_AVE,PT_sty_R1,PT_sty_R2,PT_sty_AVE,Total /12
Arabic,58,M,B,02162&02058_A.txt,Advertisement,A,F10wk5,1,1,3:38,2,2,2,2,2,2,2,2,2,6
Arabic,162,M,A,02162&02058_A.txt,Advertisement,A,F10wk5,1,1,3:38,2,2,2,2,2,2,2,2,2,6
Arabic,256,M,B,02371&02256_A.txt,Advertisement,A,F10wk5,1,2,1:42,4,3,3.5,3,3,2.5,3,3,3,9
Arabic,371,M,A,02371&02256_A.txt,Advertisement,A,F10wk5,1,2,1:42,4,3,3.5,3,3,2.5,3,3,3,9
Arabic,254,M,B,02325&02254_A.txt,Advertisement,A,F10wk5,1,3,1:52,4,4,4,3,4,2.5,4,4,4,10.5
Arabic,325,M,A,02325&02254_A.txt,Advertisement,A,F10wk5,1,3,1:52,4,4,4,3,4,2.5,4,4,4,10.5
Arabic,94,M,A,02094&02398_A.txt,Advertisement,A,F10wk5,1,4,3:01,2,1,1.5,2,2,2,2,2,2,5.5
Chinese,398,M,B,02094&02398_A.txt,Advertisement,A,F10wk5,1,4,3:01,2,1,1.5,2,2,2,2,2,2,5.5
Chinese,460,F,A,02460&02537_A.txt,Advertisement,A,F10wk5,1,6,1:40,4,3,3.5,3,2,2.5,3,3,3,9
Chinese,537,F,B,02460&02537_A.txt,Advertisement,A,F10wk5,1,6,1:40,4,3,3.5,3,2,2.5,3,3,3,9
Arabic,134,F,A,02134&02582_A.txt,Advertisement,A,F10wk5,1,7,1:23,3,3,3,3,3,2.5,3,3,3,8.5
Chinese,582,M,B,02134&02582_A.txt,Advertisement,A,F10wk5,1,7,1:23,3,3,3,3,3,2.5,3,3,3,8.5
Arabic,372,F,A,02372&02373_A.txt,Advertisement,A,F10wk5,1,8,3:15,3,3,3,3,3,2.5,3,3,3,8.5
Arabic,373,M,B,02372&02373_A.txt,Advertisement,A,F10wk5,1,8,3:15,3,3,3,3,3,2.5,3,3,3,8.5
Arabic,186,M,A,02187&02186_A.txt,Advertisement,A,F10wk5,1,9,2:25,4,4,4,3,3,2.5,3,3,3,9.5
Arabic,187,M,B,02187&02186_A.txt,Advertisement,A,F10wk5,1,9,2:25,4,4,4,3,3,2.5,3,3,3,9.5
Arabic,102,M,B,02116&02102_A.txt,Advertisement,A,F10wk5,1,10,1:39,4,4,4,4,3,3,3,3,3,10
Arabic,116,M,A,02116&02102_A.txt,Advertisement,A,F10wk5,1,10,1:39,4,4,4,4,3,3,3,3,3,10
Arabic,16,M,A,02081&02016_A.txt,Advertisement,A,F10wk5,1,11,3:02,3,3,3,3,2,2.5,3,3,3,8.5
Arabic,81,M,B,02081&02016_A.txt,Advertisement,A,F10wk5,1,11,3:02,3,3,3,3,2,2.5,3,3,3,8.5
Arabic,290,M,A,02521&02290_A.txt,Advertisement,A,F10wk5,1,12,1:21,3,2,2.5,2,2,2,2,2,2,6.5
Arabic,521,M,B,02521&02290_A.txt,Advertisement,A,F10wk5,1,12,1:21,3,2,2.5,2,2,2,2,2,2,6.5
Chinese,357,M,A,02357&02538_A.txt,Advertisement,A,F10wk5,1,13,1:53,3,3,3,2,3,2,3,3,3,8
Arabic,214,M,B,02214&02539_A.txt,Advertisement,A,F10wk5,1,15,1:48,4,3,3.5,3,3,2.5,3,3,3,9
Chinese,539,F,A,02214&02539_A.txt,Advertisement,A,F10wk5,1,15,1:48,4,3,3.5,3,3,2.5,3,3,3,9
Chinese,538,M,B,02357&02538_A.txt,Advertisement,A,F10wk7,1,13,1:53,3,3,3,2,3,2,3,3,3,8
Chinese,365,F,B,02365&02553_A.txt,Advertisement,A,F10wk8,1,14,1:19,3,3,3,2,2,2,2,2,2,7
Chinese,553,F,A,02365&02553_A.txt,Advertisement,A,F10wk9,1,14,1:19,3,3,3,2,2,2,2,2,2,7
Arabic,36,M,B,02036&02204_B.txt,Advertisement,B,F11wk5,1,16,1:39,3.5,3.5,3.5,3,3,2.5,3,3,3,9
Arabic,204,M,A,02036&02204_B.txt,Advertisement,B,F11wk5,1,16,1:39,3.5,3.5,3.5,3,3,2.5,3,3,3,9
Arabic,51,M,B,02051&02199_B.txt,Advertisement,B,F11wk5,1,17,2:00,3,2.5,2.75,3,3,2.5,2.5,3,2.75,8
Arabic,199,M,A,02051&02199_B.txt,Advertisement,B,F11wk5,1,17,2:00,3.5,3,3.25,3,3,2.5,3.5,3,3.25,9
Arabic,24,M,B,02118&02024_B.txt,Advertisement,B,F11wk5,1,18,2:04,3.5,3.5,3.5,3,3,2.5,3.5,3,3.25,9.25
Arabic,118,M,A,02118&02024_B.txt,Advertisement,B,F11wk5,1,18,2:04,3.5,3.5,3.5,3.5,3,2.75,3,3,3,9.25
Arabic,275,M,A,02282&02275_B.txt,Advertisement,B,F11wk5,1,19,1:26,3,3,3,3,3,2.5,3,3,3,8.5
Arabic,282,F,B,02282&02275_B.txt,Advertisement,B,F11wk5,1,19,1:26,3,3,3,3,3,2.5,3,3,3,8.5
Arabic,312,M,B,02330&02312_B.txt,Advertisement,B,F11wk5,1,20,2:00,2.5,2,2.25,2,2,2,3.5,3.5,3.5,7.75
Arabic,330,M,A,02330&02312_B.txt,Advertisement,B,F11wk5,1,20,2:00,3,3,3,3,3,2.5,3.5,3.5,3.5,9
Arabic,80,M,A,02080&02150_B.txt,Advertisement,B,F11wk5,1,21,1:25,2,2,2,2,2,2,2,2,2,6
Arabic,150,M,B,02080&02150_B.txt,Advertisement,B,F11wk5,1,21,1:25,2,2,2,2,2,2,2,2,2,6
Arabic,260,M,A,02260&02540_B.txt,Advertisement,B,F11wk5,1,22,2:06,3,3,3,3,3,2.5,3,3,3,8.5
Chinese,540,F,B,02260&02540_B.txt,Advertisement,B,F11wk5,1,22,2:06,3,3,3,3,3,2.5,3,3,3,8.5
Arabic,261,M,A,02261&02326_B.txt,Advertisement,B,F11wk5,1,23,2:00,2,2,2,2.5,2.5,2.25,2,2,2,6.25
Arabic,326,M,B,02261&02326_B.txt,Advertisement,B,F11wk5,1,23,2:00,2,2,2,2.5,2.5,2.25,2,2,2,6.25
Arabic,66,M,B,02541&02066_B.txt,Advertisement,B,F11wk5,1,24,1:41,4,4,4,4,3.5,3,3.5,4,3.75,10.75
Chinese,541,F,A,02541&02066_B.txt,Advertisement,B,F11wk5,1,24,1:41,4,4,4,4,3.5,3,3.5,4,3.75,10.75
Arabic,408,F,A,02491&02408_B.txt,Advertisement,B,F11wk5,1,25,1:41,3,3,3,3.5,3,2.75,3,3,3,8.75
