yeah   [586]
thank you   [218]
m   [182]
okay   [134]
yes   [117]
ok   [103]
uhhuh   [84]
uh   [73]
oh   [62]
hi b   [59]
hi   [47]
why   [44]
uh huh   [38]
hi a   [34]
youre welcome   [27]
b   [26]
good   [26]
nta   [26]
im good   [25]
so   [24]
bye   [23]
mm hmm   [23]
oh really   [22]
really   [22]
mmhmm   [21]
wow   [19]
thanks   [19]
a   [17]
yeah yeah   [16]
s   [15]
uh okay   [13]
v   [13]
thats it   [11]
and uh   [11]
student a   [11]
hello   [10]
thats all   [10]
oh yeah   [10]
right   [10]
   [9]
you know   [9]
i know   [9]
uh yeah   [9]
i agree   [9]
oh nice   [8]
hmm   [8]
yeah sure   [8]
hello b   [8]
welcome   [8]
im fine   [8]
but   [8]
to study   [8]
oh cool   [7]
no   [7]
and   [7]
you too   [7]
see you   [7]
fine   [7]
maybe   [7]
until p   [7]
ah ha   [7]
alright   [7]
oh okay   [7]
great   [7]
i   [6]
what   [6]
yeah uh   [6]
ah   [6]
uh uh   [6]
sounds good   [6]
goodbye   [5]
sure   [5]
its good   [5]
good morning   [5]
student b   [5]
yeah okay   [5]
uh yes   [5]
i think   [5]
mm   [5]
felah   [5]
mmm hmm   [5]
oh good   [4]
sorry   [4]
oh oh   [4]
come on   [4]
hello a   [4]
yes sure   [4]
nice   [4]
thanks b   [4]
uh ok   [4]
well   [4]
stop   [4]
every day   [4]
mmm   [4]
oh wow   [4]
yeah thats   [4]
and yeah   [3]
hello mr   [3]
thats good   [3]
oh ok   [3]
suggest   [3]
its okay   [3]
ah okay   [3]
thats right   [3]
huh   [3]
how   [3]
oh uh   [3]
yeah exactly   [3]
okay b   [3]
very good   [3]
ok thanks   [3]
yeah ok   [3]
uh hi   [3]
no no   [3]
okay okay   [3]
ohh   [3]
yeah yes   [3]
you agree   [3]
me too   [3]
see ya   [3]
of course   [3]
yeah good   [3]
okay thanks   [2]
please   [2]
money   [2]
did you   [2]
absolutely   [2]
discount   [2]
yep   [2]
so okay   [2]
ah ok   [2]
thank   [2]
practice   [2]
ok a   [2]
accent   [2]
youre right   [2]
umm   [2]
jack   [2]
ok uh   [2]
uh why   [2]
yeah i   [2]
thats fine   [2]
probably   [2]
to p   [2]
task    [2]
p   [2]
jackie   [2]
do you   [2]
hi dr   [2]
yeah and   [2]
graffiti   [2]
uhhuh okay   [2]
okay uh   [2]
yeah thanks   [2]
you   [2]
ah yeah   [2]
bingo   [2]
hi mr   [2]
yeah hmm   [2]
uh mr   [2]
so i   [2]
yah   [2]
uh a   [2]
and b   [2]
sometimes   [2]
conversation   [2]
yes yes   [2]
but uh   [2]
i see   [2]
john smith   [2]
because   [2]
like this   [2]
clothes   [2]
okay great   [2]
electricity   [2]
modern life   [2]
increase   [2]
oh teenager   [1]
yeah seriously   [1]
so good   [1]
sound affect   [1]
its cheap   [1]
coke yeah   [1]
hello dr   [1]
bye bye   [1]
yeah cool   [1]
the   [1]
machine   [1]
oh right   [1]
mmhmm why   [1]
cause   [1]
lets go   [1]
good good   [1]
you mean   [1]
thats cool   [1]
quit it   [1]
another hand   [1]
spend   [1]
your   [1]
thousand uh   [1]
its weight   [1]
from where   [1]
okay the   [1]
uhhuh sure   [1]
two battery   [1]
the contact   [1]
yes nta   [1]
exercise yeah   [1]
or activity   [1]
sound good   [1]
hello dad   [1]
thirty years   [1]
you s   [1]
need to   [1]
fine b   [1]
why b   [1]
and so   [1]
wel welcome   [1]
uh online   [1]
yeah online   [1]
its ww   [1]
yup exactly   [1]
okay i   [1]
take care   [1]
excuse me   [1]
thats great   [1]
ugh   [1]
champix   [1]
quit smoking   [1]
its milk   [1]
camera   [1]
dont   [1]
more than   [1]
okay sure   [1]
uh sure   [1]
try them   [1]
very cheap   [1]
no never   [1]
its lie   [1]
yeah absolutely   [1]
this is   [1]
about you   [1]
his accent   [1]
uh ys   [1]
ok cool   [1]
uh b   [1]
this problem   [1]
hi hello   [1]
test   [1]
why not   [1]
end end   [1]
i heard   [1]
stayed   [1]
he should   [1]
improve   [1]
yeah hello   [1]
uh and   [1]
just that   [1]
im agree   [1]
uh what   [1]
sounds great   [1]
good idea   [1]
our patient   [1]
thanks doctor   [1]
byebye   [1]
hmmm   [1]
whats up   [1]
thats horrible   [1]
she   [1]
so lets   [1]
cardiovascular   [1]
i disagree   [1]
heart disease   [1]
we    [1]
geoff   [1]
but that   [1]
so yeah   [1]
with jack   [1]
he   [1]
who   [1]
uh    [1]
 center   [1]
ok interesting   [1]
actually    [1]
geoff also   [1]
cindy   [1]
im b   [1]
until a   [1]
on weekends   [1]
yeah joe   [1]
overweight   [1]
during   [1]
for themselves   [1]
little food   [1]
drink water   [1]
meat   [1]
oh same   [1]
ah hah   [1]
so    [1]
im sorry   [1]
