original_file_name,id_A,id_B,sentence_count_A,sentence_count_B,level_A,level_B,collab_score_avg_A,collab_score_avg_B,fragment_count_A,fragment_count_B,fragment_count_all,fragments_A,fragments_B,fragments_all
02010&02172_C.txt,A172,B010,7,8,1,1,4,4,2,2,4,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,I'm good,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Oh, teenager?,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Oh, teenager?
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,I'm good
02013&02431_B.txt,A431,B013,19,11,1,1,4,4,2,4,6,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Oh nice,,
,,,,,,,,,,,,, Yeah seriously,
,,,,,,,,,,,,,Uh…,
,,,,,,,,,,,,,Uh twelve dollars,
,,,,,,,,,,,,,Yeah and and make uh make uh woman uh like you very much,
,,,,,,,,,,,,,, Yeah seriously
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Oh nice
,,,,,,,,,,,,,,Uh…
,,,,,,,,,,,,,,Yeah and and make uh make uh woman uh like you very much
,,,,,,,,,,,,,,Uh twelve dollars
02036&02204_B.txt,A036,B204,9,6,1,1,4,4,2,2,4,,,
,,,,,,,,,,,, Okay, thanks,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,, So good,
,,,,,,,,,,,,,Good uh product,
,,,,,,,,,,,,,, Okay, thanks
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,So good
,,,,,,,,,,,,,,Good uh product
02048&02212_A.txt,A212,B048,7,11,1,1,3,3,1,2,3,,,
,,,,,,,,,,,, Yeah of course, take it,,
,,,,,,,,,,,,, Oh good,
,,,,,,,,,,,,,Oh what a nice pictures,
,,,,,,,,,,,,,, Oh good
,,,,,,,,,,,,,,Oh what a nice pictures
,,,,,,,,,,,,,,Yeah of course, take it
02051&02199_B.txt,A051,B199,13,11,1,1,3,4,6,7,13,,,
,,,,,,,,,,,, It's cheap,,
,,,,,,,,,,,,Okay your attention, hmm,,
,,,,,,,,,,,,And yeah,,
,,,,,,,,,,,,Yeah sound effect,,
,,,,,,,,,,,,Mm-hmm,,
,,,,,,,,,,,,i,,
,,,,,,,,,,,,, yeah,
,,,,,,,,,,,,,Because uh and go to the store buy the bicycle,
,,,,,,,,,,,,,Because uh see much people,
